State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount,Region
Andhra Pradesh,2022,2,Merchant payments,292530048,2.05434E+11,Southern Region
Andhra Pradesh,2022,2,Recharge & bill payments,56606969,42408541939,Southern Region
Andhra Pradesh,2022,2,Financial Services,192751,245783011,Southern Region
Andhra Pradesh,2022,2,Others,441925,357036084.9,Southern Region
Andhra Pradesh,2022,3,Peer-to-peer payments,298804000,1.14016E+12,Southern Region
Andhra Pradesh,2022,3,Merchant payments,291033653,2.02911E+11,Southern Region
Andhra Pradesh,2022,3,Recharge & bill payments,52467708,41438764826,Southern Region
Andhra Pradesh,2022,3,Financial Services,187190,239347241.5,Southern Region
Andhra Pradesh,2022,3,Others,362484,323951101.6,Southern Region
Andhra Pradesh,2022,4,Merchant payments,321632104,2.11899E+11,Southern Region
Andhra Pradesh,2022,4,Peer-to-peer payments,315734006,1.17025E+12,Southern Region
Andhra Pradesh,2022,4,Recharge & bill payments,52098850,41986837706,Southern Region
Andhra Pradesh,2022,4,Financial Services,206459,250596592.1,Southern Region
Andhra Pradesh,2022,4,Others,345658,339211363,Southern Region
Arunachal Pradesh,2018,1,Recharge & bill payments,28729,5184132.515,North-Eastern Region
Arunachal Pradesh,2018,1,Peer-to-peer payments,13320,82889682.72,North-Eastern Region
Arunachal Pradesh,2018,1,Merchant payments,1042,2420374.191,North-Eastern Region
Arunachal Pradesh,2018,1,Financial Services,416,58893.76202,North-Eastern Region
Arunachal Pradesh,2018,1,Others,1990,1834252.818,North-Eastern Region
Arunachal Pradesh,2018,2,Recharge & bill payments,50700,10468878.54,North-Eastern Region
Arunachal Pradesh,2018,2,Peer-to-peer payments,26477,181576281.2,North-Eastern Region
Arunachal Pradesh,2018,2,Merchant payments,2378,4718953.44,North-Eastern Region
Arunachal Pradesh,2018,2,Financial Services,559,363761.8016,North-Eastern Region
Arunachal Pradesh,2018,2,Others,2043,1842317.369,North-Eastern Region
Arunachal Pradesh,2018,3,Recharge & bill payments,74122,15997565.91,North-Eastern Region
Arunachal Pradesh,2018,3,Peer-to-peer payments,49740,308106303.5,North-Eastern Region
Arunachal Pradesh,2018,3,Merchant payments,4738,5505694.568,North-Eastern Region
Arunachal Pradesh,2018,3,Financial Services,507,72133.84525,North-Eastern Region
Arunachal Pradesh,2018,3,Others,2039,2044708.969,North-Eastern Region
Arunachal Pradesh,2018,4,Recharge & bill payments,97751,20662691.88,North-Eastern Region
Arunachal Pradesh,2018,4,Peer-to-peer payments,68169,468831493.2,North-Eastern Region
Arunachal Pradesh,2018,4,Merchant payments,7726,11998974.1,North-Eastern Region
Arunachal Pradesh,2018,4,Financial Services,561,100597.9038,North-Eastern Region
Arunachal Pradesh,2018,4,Others,2222,2446271.969,North-Eastern Region
Arunachal Pradesh,2019,1,Recharge & bill payments,121303,26796895,North-Eastern Region
Arunachal Pradesh,2019,1,Peer-to-peer payments,93494,568554821.4,North-Eastern Region
Arunachal Pradesh,2019,1,Merchant payments,9214,11727218.4,North-Eastern Region
Arunachal Pradesh,2019,1,Financial Services,256,140622.8709,North-Eastern Region
Arunachal Pradesh,2019,1,Others,2239,2730548.598,North-Eastern Region
Arunachal Pradesh,2019,2,Recharge & bill payments,131988,30420803.41,North-Eastern Region
Arunachal Pradesh,2019,2,Peer-to-peer payments,106527,704237943.4,North-Eastern Region
Arunachal Pradesh,2019,2,Merchant payments,16828,13955724.13,North-Eastern Region
Arunachal Pradesh,2019,2,Financial Services,267,160660.8821,North-Eastern Region
Arunachal Pradesh,2019,2,Others,3046,3880742.524,North-Eastern Region
Arunachal Pradesh,2019,3,Recharge & bill payments,216228,50946104.94,North-Eastern Region
Arunachal Pradesh,2019,3,Peer-to-peer payments,133484,841037395.2,North-Eastern Region
Arunachal Pradesh,2019,3,Merchant payments,16900,17178248.07,North-Eastern Region
Arunachal Pradesh,2019,3,Financial Services,864,64089.1135,North-Eastern Region
Arunachal Pradesh,2019,3,Others,2758,3419197.418,North-Eastern Region
Arunachal Pradesh,2019,4,Recharge & bill payments,259183,63516906.09,North-Eastern Region
Arunachal Pradesh,2019,4,Peer-to-peer payments,177833,1100137448,North-Eastern Region
